Key,Source,Context,Changes,English,japanese,german
RecuperateRank4Desc,progression,skills,New,+0.12 Health Regeneration/sec.,ヘルス回復+0.12/秒,+0.12 Lebensregeneration/Sek.
RecuperateRank5Desc,progression,skills,New,+0.15 Health Regeneration/sec.,ヘルス回復+0.15/秒,+0.15 Lebensregeneration/Sek.
RecuperateRank6Desc,progression,skills,New,+0.17 Health Regeneration/sec.,ヘルス回復+0.17/秒,+0.17 Lebensregeneration/Sek.
RecuperateRank7Desc,progression,skills,New,+0.19 Health Regeneration/sec.,ヘルス回復+0.19/秒,+0.19 Lebensregeneration/Sek.
RecuperateRank8Desc,progression,skills,New,+0.21 Health Regeneration/sec.,ヘルス回復+0.21/秒,+0.21 Lebensregeneration/Sek.
RecuperateRank9Desc,progression,skills,New,+0.23 Health Regeneration/sec.,ヘルス回復+0.23/秒,+0.23 Lebensregeneration/Sek.
RecuperateRank10Desc,progression,skills,New,+0.25 Health Regeneration/sec.,ヘルス回復+0.25/秒,+0.25 Lebensregeneration/Sek.
RecuperateRank1LongDesc,progression,skills,New,Regenerate an additional 0.03 health per second at all times,1秒ごとにヘルスを0.03回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.03 Lebensenergie pro Sekunde.
RecuperateRank2LongDesc,progression,skills,New,Regenerate an additional 0.06 health per second at all times,1秒ごとにヘルスを0.06回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.06 Lebensenergie pro Sekunde.
RecuperateRank3LongDesc,progression,skills,New,Regenerate an additional 0.09 health per second at all times,1秒ごとにヘルスを0.09回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.09 Lebensenergie pro Sekunde.
RecuperateRank4LongDesc,progression,skills,New,Regenerate an additional 0.12 health per second at all times,1秒ごとにヘルスを0.12回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.12 Lebensenergie pro Sekunde.
RecuperateRank5LongDesc,progression,skills,New,Regenerate an additional 0.15 health per second at all times,1秒ごとにヘルスを0.15回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.15 Lebensenergie pro Sekunde.
RecuperateRank6LongDesc,progression,skills,New,Regenerate an additional 0.17 health per second at all times,1秒ごとにヘルスを0.17回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.17 Lebensenergie pro Sekunde.
RecuperateRank7LongDesc,progression,skills,New,Regenerate an additional 0.19 health per second at all times,1秒ごとにヘルスを0.19回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.19 Lebensenergie pro Sekunde.
RecuperateRank8LongDesc,progression,skills,New,Regenerate an additional 0.21 health per second at all times,1秒ごとにヘルスを0.21回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.21 Lebensenergie pro Sekunde.
RecuperateRank9LongDesc,progression,skills,New,Regenerate an additional 0.23 health per second at all times,1秒ごとにヘルスを0.23回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.23 Lebensenergie pro Sekunde.
RecuperateRank10LongDesc,progression,skills,New,Regenerate an additional 0.25 health per second at all times,1秒ごとにヘルスを0.25回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.25 Lebensenergie pro Sekunde.

SuperiorMetabolismName,progression,skills,New,Superior Metabolism,優れた新陳代謝,Überlegener Stoffwechsel
SuperiorMetabolismDesc,progression,skills,New,Your organism takes it easy. Lose even less food and water from physical exertion.,あなたの組織はより優れた代謝を獲得します。肉体労働時の飲食物の消耗を抑えます。,"Dein Organismus lässt es ruhiger angehen. Du verbrauchst weniger Nahrungs- und Wasserreserven durch körperliche Anstrengung."
SuperiorMetabolismRank1Desc,progression,skills,New,-3% Food and Water loss,飲食物消耗-3%,-3% Nahrungs- und Wasserverlust
SuperiorMetabolismRank2Desc,progression,skills,New,-6% Food and Water loss,飲食物消耗-6%,-6% Nahrungs- und Wasserverlust
SuperiorMetabolismRank3Desc,progression,skills,New,-9% Food and Water loss,飲食物消耗-9%,-9% Nahrungs- und Wasserverlust
SuperiorMetabolismRank4Desc,progression,skills,New,-12% Food and Water loss,飲食物消耗-12%,-12% Nahrungs- und Wasserverlust
SuperiorMetabolismRank5Desc,progression,skills,New,-15% Food and Water loss,飲食物消耗-15%,-15% Nahrungs- und Wasserverlust
SuperiorMetabolismRank6Desc,progression,skills,New,-17% Food and Water loss,飲食物消耗-17%,-17% Nahrungs- und Wasserverlust
SuperiorMetabolismRank7Desc,progression,skills,New,-19% Food and Water loss,飲食物消耗-19%,-19% Nahrungs- und Wasserverlust
SuperiorMetabolismRank8Desc,progression,skills,New,-21% Food and Water loss,飲食物消耗-21%,-21% Nahrungs- und Wasserverlust
SuperiorMetabolismRank9Desc,progression,skills,New,-23% Food and Water loss,飲食物消耗-23%,-23% Nahrungs- und Wasserverlust
SuperiorMetabolismRank10Desc,progression,skills,New,-25% Food and Water loss,飲食物消耗-25%,-25% Nahrungs- und Wasserverlust
SuperiorMetabolismRank1LongDesc,progression,skills,New,Lose 3% less food and water from physical exertion.,食べ物と飲み物の消耗速度を3%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 3%. 
SuperiorMetabolismRank2LongDesc,progression,skills,New,Lose 6% less food and water from physical exertion.,食べ物と飲み物の消耗速度を6%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 6%. 
SuperiorMetabolismRank3LongDesc,progression,skills,New,Lose 9% less food and water from physical exertion.,食べ物と飲み物の消耗速度を9%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 9%. 
SuperiorMetabolismRank4LongDesc,progression,skills,New,Lose 12% less food and water from physical exertion.,食べ物と飲み物の消耗速度を12%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 12%. 
SuperiorMetabolismRank5LongDesc,progression,skills,New,Lose 15% less food and water from physical exertion.,食べ物と飲み物の消耗速度を15%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 15%. 
SuperiorMetabolismRank6LongDesc,progression,skills,New,Lose 17% less food and water from physical exertion.,食べ物と飲み物の消耗速度を17%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 17%. 
SuperiorMetabolismRank7LongDesc,progression,skills,New,Lose 19% less food and water from physical exertion.,食べ物と飲み物の消耗速度を19%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 19%. 
SuperiorMetabolismRank8LongDesc,progression,skills,New,Lose 21% less food and water from physical exertion.,食べ物と飲み物の消耗速度を21%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 21%. 
SuperiorMetabolismRank9LongDesc,progression,skills,New,Lose 23% less food and water from physical exertion.,食べ物と飲み物の消耗速度を23%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 23%. 
SuperiorMetabolismRank10LongDesc,progression,skills,New,Lose 25% less food and water from physical exertion.,食べ物と飲み物の消耗速度を25%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 25%. 

MobilityName,progression,skills,New,Mobility,機動性,Wendigkeit
MobilityDesc,progression,skills,New,Running hundreds and thousands of miles earned you some well conditioned legs. You're now able too move faster independent of the circumstances.,長い距離を歩き続けることで効率的な歩き方を身に着け、状況に左右されずに速く動けるようになりました。,"Tausende von Kilometern zu rennnen, hat dir ein Paar ziemlich durchtrainierter Beine verschafft. Du kannst dich nun, ungeachtet der Bedingungen, schneller bewegen."
MobilityRank1Desc,progression,skills,New,+4% Mobility,移動速度+4%,+4% Lauftempo
MobilityRank2Desc,progression,skills,New,+8% Mobility,移動速度+8%,+8% Lauftempo
MobilityRank3Desc,progression,skills,New,+12% Mobility,移動速度+12%,+12% Lauftempo
MobilityRank4Desc,progression,skills,New,+16% Mobility,移動速度+16%,+16% Lauftempo
MobilityRank5Desc,progression,skills,New,+20% Mobility,移動速度+20%,+20% Lauftempo
MobilityRank6Desc,progression,skills,New,+22% Mobility,移動速度+22%,+22% Lauftempo
MobilityRank7Desc,progression,skills,New,+24% Mobility,移動速度+24%,+24% Lauftempo
MobilityRank8Desc,progression,skills,New,+26% Mobility,移動速度+26%,+26% Lauftempo
MobilityRank9Desc,progression,skills,New,+28% Mobility,移動速度+28%,+28% Lauftempo
MobilityRank10Desc,progression,skills,New,+30% Mobility,移動速度+30%,+30% Lauftempo
MobilityRank1LongDesc,progression,skills,New,Increase your mobility by 4%,あなたの移動速度を4%増加させます。,Erhöhe dein Lauftempo um 4%.
MobilityRank2LongDesc,progression,skills,New,Increase your mobility by 8%,あなたの移動速度を8%増加させます。,Erhöhe dein Lauftempo um 8%.
MobilityRank3LongDesc,progression,skills,New,Increase your mobility by 12%,あなたの移動速度を12%増加させます。,Erhöhe dein Lauftempo um 12%.
MobilityRank4LongDesc,progression,skills,New,Increase your mobility by 16%,あなたの移動速度を16%増加させます。,Erhöhe dein Lauftempo um 16%.
MobilityRank5LongDesc,progression,skills,New,Increase your mobility by 20%,あなたの移動速度を20%増加させます。,Erhöhe dein Lauftempo um 20%.
MobilityRank6LongDesc,progression,skills,New,Increase your mobility by 22%,あなたの移動速度を22%増加させます。,Erhöhe dein Lauftempo um 22%.
MobilityRank7LongDesc,progression,skills,New,Increase your mobility by 24%,あなたの移動速度を24%増加させます。,Erhöhe dein Lauftempo um 24%.
MobilityRank8LongDesc,progression,skills,New,Increase your mobility by 26%,あなたの移動速度を26%増加させます。,Erhöhe dein Lauftempo um 26%.
MobilityRank9LongDesc,progression,skills,New,Increase your mobility by 28%,あなたの移動速度を28%増加させます。,Erhöhe dein Lauftempo um 28%.
MobilityRank10LongDesc,progression,skills,New,Increase your mobility by 30%,あなたの移動速度を30%増加させます。,Erhöhe dein Lauftempo um 30%.

MiningMasteryName,progression,skills,New,Mining Mastery,マイニングマスター,Bergbau-Experte
MiningMasteryDesc,progression,skills,New,You've acquired the knowledge to better learn how to gather more resources while mining.,資源採掘をしながら、より多くの資源を集めるための知識を身につけました。,"Du hast herausgefunden, wie du mehr Ressourcen beim Abbauen gewinnen kannst."
MiningMasteryRank1Desc,progression,skills,New,"+6% more stone, ore and lumber",資源回収量+6%,"+6% mehr Steine, Erz und Holz"
MiningMasteryRank2Desc,progression,skills,New,"+12% more stone, ore and lumber",資源回収量+12%,"+12% mehr Steine, Erz und Holz"
MiningMasteryRank3Desc,progression,skills,New,"+18% more stone, ore and lumber",資源回収量+18%,"+18% mehr Steine, Erz und Holz"
MiningMasteryRank4Desc,progression,skills,New,"+24% more stone, ore and lumber",資源回収量+24%,"+24% mehr Steine, Erz und Holz"
MiningMasteryRank5Desc,progression,skills,New,"+30% more stone, ore and lumber\n+10% Block Damage",資源回収量+30%\nブロックダメージ+10%,"+30% mehr Steine, Erz und Holz\n+10% Blockschaden"
MiningMasteryRank6Desc,progression,skills,New,"+34% more stone, ore and lumber\n+10% Block Damage",資源回収量+34%\nブロックダメージ+10%,"+34% mehr Steine, Erz und Holz\n+10% Blockschaden"
MiningMasteryRank7Desc,progression,skills,New,"+38% more stone, ore and lumber\n+10% Block Damage",資源回収量+38%\nブロックダメージ+10%,"+38% mehr Steine, Erz und Holz\n+10% Blockschaden"
MiningMasteryRank8Desc,progression,skills,New,"+42% more stone, ore and lumber\n+10% Block Damage",資源回収量+42%\nブロックダメージ+10%,"+42% mehr Steine, Erz und Holz\n+10% Blockschaden"
MiningMasteryRank9Desc,progression,skills,New,"+46% more stone, ore and lumber\n+10% Block Damage",資源回収量+46%\nブロックダメージ+10%,"+46% mehr Steine, Erz und Holz\n+10% Blockschaden"
MiningMasteryRank10Desc,progression,skills,New,"+50% more stone, ore and lumber\n+20% Block Damage",資源回収量+50%\nブロックダメージ+20%,"+50% mehr Steine, Erz und Holz\n+20% Blockschaden"
MiningMasteryRank1LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 6%",石材、鉱石、木材の収集量を6%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 6% erhöht."
MiningMasteryRank2LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 12%",石材、鉱石、木材の収集量を12%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 12% erhöht."
MiningMasteryRank3LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 18%",石材、鉱石、木材の収集量を18%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 18% erhöht."
MiningMasteryRank4LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 24%",石材、鉱石、木材の収集量を24%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 24% erhöht."
MiningMasteryRank5LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 30%\nIncrease any block damage you cause by 10%.",石材、鉱石、木材の収集量を30%上昇させ、ブロックに対するダメージを10%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 30% erhöht.\n Erhöhe zudem jeglichen Blockschaden um 10%."
MiningMasteryRank6LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 34%\nIncrease any block damage you cause by 10%.",石材、鉱石、木材の収集量を34%上昇させ、ブロックに対するダメージを10%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 34% erhöht.\n Erhöhe zudem jeglichen Blockschaden um 10%."
MiningMasteryRank7LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 38%\nIncrease any block damage you cause by 10%.",石材、鉱石、木材の収集量を38%上昇させ、ブロックに対するダメージを10%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 38% erhöht.\n Erhöhe zudem jeglichen Blockschaden um 10%."
MiningMasteryRank8LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 42%\nIncrease any block damage you cause by 10%.",石材、鉱石、木材の収集量を42%上昇させ、ブロックに対するダメージを10%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 42% erhöht.\n Erhöhe zudem jeglichen Blockschaden um 10%."
MiningMasteryRank9LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 46%\nIncrease any block damage you cause by 10%.",石材、鉱石、木材の収集量を46%上昇させ、ブロックに対するダメージを10%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 46% erhöht.\n Erhöhe zudem jeglichen Blockschaden um 10%."
MiningMasteryRank10LongDesc,progression,skills,New,"Gather rate of stone, ores and lumber increased by 50%\nIncrease any block damage you cause by 20%.",石材、鉱石、木材の収集量を50%上昇させ、ブロックに対するダメージを20%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 50% erhöht.\n Erhöhe zudem jeglichen Blockschaden um 20%."

ToolMasteryName,progression,skills,New,Tool Mastery,ツールマスター,Werkzeug-Experte
ToolMasteryDesc,progression,skills,New,Hitting all kinds of materials day and night made you really buff. You're even stronger now.,昼夜問わずいろんな素材を叩くことでより強く、より早くツールを扱えるようになった。,"Durch das tagtägliche Abbauen diverser Materialien, bist du ziemlich muskulös und stark geworden."
ToolMasteryRank1Desc,progression,skills,New,+12% Block Damage\n+6% Attack Speed,ツールダメージ+12%\n攻撃速度+6%,+12% Blockschaden\n+6% Angriffstempo
ToolMasteryRank2Desc,progression,skills,New,+24% Block Damage\n+12% Attack Speed,ツールダメージ+24%\n攻撃速度+12%,+24% Blockschaden\n+12% Angriffstempo
ToolMasteryRank3Desc,progression,skills,New,+36% Block Damage\n+18% Attack Speed,ツールダメージ+36%\n攻撃速度+18%,+36 Blockschaden\n+18% Angriffstempo
ToolMasteryRank4Desc,progression,skills,New,+48% Block Damage\n+24% Attack Speed,ツールダメージ+48%\n攻撃速度+24%,+48% Blockschaden\n+24% Angriffstempo
ToolMasteryRank5Desc,progression,skills,New,+60% Block Damage\n+30% Attack Speed\n-15% Falling Block Damage,ツールダメージ+60%\n攻撃速度+30%崩落ダメージ-15%,+60% Blockschaden\n+30% Angriffstempo\n-15% Schaden durch fallende Blöcke.
ToolMasteryRank6Desc,progression,skills,New,+68% Block Damage\n+34% Attack Speed\n-15% Falling Block Damage,ツールダメージ+68%\n攻撃速度+34%崩落ダメージ-15%,+68% Blockschaden\n+34% Angriffstempo\n-15% Schaden durch fallende Blöcke.
ToolMasteryRank7Desc,progression,skills,New,+76% Block Damage\n+38% Attack Speed\n-15% Falling Block Damage,ツールダメージ+76%\n攻撃速度+38%崩落ダメージ-15%,+76% Blockschaden\n+38% Angriffstempo\n-15% Schaden durch fallende Blöcke.
ToolMasteryRank8Desc,progression,skills,New,+84% Block Damage\n+42% Attack Speed\n-15% Falling Block Damage,ツールダメージ+84%\n攻撃速度+42%崩落ダメージ-15%,+84% Blockschaden\n+42% Angriffstempo\n-15% Schaden durch fallende Blöcke.
ToolMasteryRank9Desc,progression,skills,New,+92% Block Damage\n+46% Attack Speed\n-15% Falling Block Damage,ツールダメージ+92%\n攻撃速度+46%崩落ダメージ-15%,+92% Blockschaden\n+46% Angriffstempo\n-15% Schaden durch fallende Blöcke.
ToolMasteryRank10Desc,progression,skills,New,+100% Block Damage\n+50% Attack Speed\n-30% Falling Block Damage,ツールダメージ+100%\n攻撃速度+50%崩落ダメージ-30%,+100% Blockschaden\n+50% Angriffstempo\n-30% Schaden durch fallende Blöcke.
ToolMasteryRank1LongDesc,progression,skills,New,Increase your block damage by 12% and attack speed with tools by 6%,あなたのツールのダメージを12%攻撃速度を6%上昇させます。,"Erhöhe deinen Blockschaden um 12% und dein Angriffstempo um 6%, solange du Werkzeug benutzt."
ToolMasteryRank2LongDesc,progression,skills,New,Increase your block damage by 24% and attack speed with tools by 12%,あなたのツールのダメージを24%攻撃速度を12%上昇させます。,"Erhöhe deinen Blockschaden um 24% und dein Angriffstempo um 12%, solange du Werkzeug benutzt."
ToolMasteryRank3LongDesc,progression,skills,New,Increase your block damage by 36% and attack speed with tools by 18%,あなたのツールのダメージを36%攻撃速度を18%上昇させます。,"Erhöhe deinen Blockschaden um 36% und dein Angriffstempo um 18%, solange du Werkzeug benutzt."
ToolMasteryRank4LongDesc,progression,skills,New,Increase your block damage by 48% and attack speed with tools by 24%,あなたのツールのダメージを48%攻撃速度を24%上昇させます。,"Erhöhe deinen Blockschaden um 48% und dein Angriffstempo um 24%, solange du Werkzeug benutzt."
ToolMasteryRank5LongDesc,progression,skills,New,"Increase your block damage by 60% and attack speed with tools by 30%. Decrease the damage you receive through falling blocks by 15%, if you're wearing tools.",あなたのツールのダメージを60%攻撃速度を30%上昇させ、崩落に巻き込まれた際のダメージを-15%します。,"Erhöhe deinen Blockschaden um 60% und dein Angriffstempo um 30%, solange du Werkzeug benutzt. Verringert zudem deinen erlittenen Schaden aus fallenden Blöcken um 15%."
ToolMasteryRank6LongDesc,progression,skills,New,"Increase your block damage by 68% and attack speed with tools by 34%. Decrease the damage you receive through falling blocks by 15%, if you're wearing tools.",あなたのツールのダメージを68%攻撃速度を34%上昇させ、崩落に巻き込まれた際のダメージを-15%します。,"Erhöhe deinen Blockschaden um 68% und dein Angriffstempo um 34%, solange du Werkzeug benutzt. Verringert zudem deinen erlittenen Schaden aus fallenden Blöcken um 15%."
ToolMasteryRank7LongDesc,progression,skills,New,"Increase your block damage by 76% and attack speed with tools by 38%. Decrease the damage you receive through falling blocks by 15%, if you're wearing tools.",あなたのツールのダメージを76%攻撃速度を38%上昇させ、崩落に巻き込まれた際のダメージを-15%します。,"Erhöhe deinen Blockschaden um 76% und dein Angriffstempo um 38%, solange du Werkzeug benutzt. Verringert zudem deinen erlittenen Schaden aus fallenden Blöcken um 15%."
ToolMasteryRank8LongDesc,progression,skills,New,"Increase your block damage by 84% and attack speed with tools by 42%. Decrease the damage you receive through falling blocks by 15%, if you're wearing tools.",あなたのツールのダメージを84%攻撃速度を42%上昇させ、崩落に巻き込まれた際のダメージを-15%します。,"Erhöhe deinen Blockschaden um 84% und dein Angriffstempo um 42%, solange du Werkzeug benutzt. Verringert zudem deinen erlittenen Schaden aus fallenden Blöcken um 15%."
ToolMasteryRank9LongDesc,progression,skills,New,"Increase your block damage by 92% and attack speed with tools by 46%. Decrease the damage you receive through falling blocks by 15%, if you're wearing tools.",あなたのツールのダメージを92%攻撃速度を46%上昇させ、崩落に巻き込まれた際のダメージを-15%します。,"Erhöhe deinen Blockschaden um 92% und dein Angriffstempo um 46%, solange du Werkzeug benutzt. Verringert zudem deinen erlittenen Schaden aus fallenden Blöcken um 15%."
ToolMasteryRank10LongDesc,progression,skills,New,"Increase your block damage by 100% and attack speed with tools by 50%. Decrease the damage you receive through falling blocks by 30%, if you're wearing tools.",あなたのツールのダメージを100%攻撃速度を50%上昇させ、崩落に巻き込まれた際のダメージを-30%します。,"Erhöhe deinen Blockschaden um 100% und dein Angriffstempo um 50%, solange du Werkzeug benutzt. Verringert zudem deinen erlittenen Schaden aus fallenden Blöcken um 30%."

ClubMasteryName,progression,skills,New,Club Mastery,棍棒マスター,Keulen-Experte
ClubMasteryDesc,progression,skills,New,You've mastered the arts of the club.,棍棒の扱いをマスターした。,Du hast dich auf das Kämpfen mit Keulen spezialisiert.
ClubMasteryRank1Desc,progression,skills,New,"+6% Entity Damage, Attack Speed",ダメージ&攻撃速度+6%,"+6% Schaden, Angriffstempo"
ClubMasteryRank2Desc,progression,skills,New,"+12% Entity Damage, Attack Speed",ダメージ&攻撃速度+12%,"+12% Schaden, Angriffstempo"
ClubMasteryRank3Desc,progression,skills,New,"+18% Entity Damage, Attack Speed",ダメージ&攻撃速度+18%,"+18% Schaden, Angriffstempo"
ClubMasteryRank4Desc,progression,skills,New,"+24% Entity Damage, Attack Speed",ダメージ&攻撃速度+24%,"+24% Schaden, Angriffstempo"
ClubMasteryRank5Desc,progression,skills,New,"+30% Entity Damage, Attack Speed\n+15% Sprinting Damage",ダメージ&攻撃速度+30%\nダッシュ時ダメージ+15%,"+30% Schaden, Angriffstempo\n+15% Sprintschaden."
ClubMasteryRank6Desc,progression,skills,New,"+34% Entity Damage, Attack Speed\n+15% Sprinting Damage",ダメージ&攻撃速度+34%\nダッシュ時ダメージ+15%,"+34% Schaden, Angriffstempo\n+15% Sprintschaden."
ClubMasteryRank7Desc,progression,skills,New,"+38% Entity Damage, Attack Speed\n+15% Sprinting Damage",ダメージ&攻撃速度+38%\nダッシュ時ダメージ+15%,"+38% Schaden, Angriffstempo\n+15% Sprintschaden."
ClubMasteryRank8Desc,progression,skills,New,"+42% Entity Damage, Attack Speed\n+15% Sprinting Damage",ダメージ&攻撃速度+42%\nダッシュ時ダメージ+15%,"+42% Schaden, Angriffstempo\n+15% Sprintschaden."
ClubMasteryRank9Desc,progression,skills,New,"+46% Entity Damage, Attack Speed\n+15% Sprinting Damage",ダメージ&攻撃速度+46%\nダッシュ時ダメージ+15%,"+46% Schaden, Angriffstempo\n+15% Sprintschaden."
ClubMasteryRank10Desc,progression,skills,New,"+50% Entity Damage, Attack Speed\n+30% Sprinting Damage",ダメージ&攻撃速度+50%\nダッシュ時ダメージ+30%,"+50% Schaden, Angriffstempo\n+30% Sprintschaden."
ClubMasteryRank1LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 6%",攻撃力と攻撃速度を6%上昇させます。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 6%."
ClubMasteryRank2LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 12%",攻撃力と攻撃速度を12%上昇させます。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 12%."
ClubMasteryRank3LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 18%",攻撃力と攻撃速度を18%上昇させます。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 18%."
ClubMasteryRank4LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 24%",攻撃力と攻撃速度を24%上昇させます。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 24%."
ClubMasteryRank5LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 30%. Damage is increased by an additional 15% if you hit a target while sprinting.",攻撃力と攻撃速度を30%上昇させ、ダッシュ攻撃時のダメージを+15%します。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 30%. Der Schaden erhöht sich um weitere 15%, wenn du ein Ziel triffst, während du sprintest."
ClubMasteryRank6LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 34%. Damage is increased by an additional 15% if you hit a target while sprinting.",攻撃力と攻撃速度を34%上昇させ、ダッシュ攻撃時のダメージを+15%します。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 34%. Der Schaden erhöht sich um weitere 15%, wenn du ein Ziel triffst, während du sprintest."
ClubMasteryRank7LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 38%. Damage is increased by an additional 15% if you hit a target while sprinting.",攻撃力と攻撃速度を38%上昇させ、ダッシュ攻撃時のダメージを+15%します。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 38%. Der Schaden erhöht sich um weitere 15%, wenn du ein Ziel triffst, während du sprintest."
ClubMasteryRank8LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 42%. Damage is increased by an additional 15% if you hit a target while sprinting.",攻撃力と攻撃速度を42%上昇させ、ダッシュ攻撃時のダメージを+15%します。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 42%. Der Schaden erhöht sich um weitere 15%, wenn du ein Ziel triffst, während du sprintest."
ClubMasteryRank9LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 46%. Damage is increased by an additional 15% if you hit a target while sprinting.",攻撃力と攻撃速度を46%上昇させ、ダッシュ攻撃時のダメージを+15%します。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 46%. Der Schaden erhöht sich um weitere 15%, wenn du ein Ziel triffst, während du sprintest."
ClubMasteryRank10LongDesc,progression,skills,New,"Increase your entity damage and attack speed with clubs by 50%. Damage is increased by an additional 30% if you hit a target while sprinting.",攻撃力と攻撃速度を50%上昇させ、ダッシュ攻撃時のダメージを+30%します。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 50%. Der Schaden erhöht sich um weitere 30%, wenn du ein Ziel triffst, während du sprintest."

SledgeMasteryName,progression,skills,New,Sledge Mastery,スレッジハンマーマスター,Hammer-Experte
SledgeMasteryDesc,progression,skills,New,You've mastered the arts of the sledgehammer.,スレッジハンマーの扱いをマスターした。,Du hast dich auf das Kämpfen mit Vorschlaghämmern spezialisiert.
SledgeMasteryRank1Desc,progression,skills,New,"+6% Entity Damage, Attack Speed\n+24% Block Damage",対ブロックダメージ+24%\n対エンテティダメージ&攻撃速度+6%,"+6% Schaden, Angriffstempo\n+24% Blockschaden"
SledgeMasteryRank2Desc,progression,skills,New,"+12% Entity Damage, Attack Speed\n+48% Block Damage",対ブロックダメージ+48%\n対エンテティダメージ&攻撃速度+12%,"+12% Schaden, Angriffstempo\n+48% Blockschaden"
SledgeMasteryRank3Desc,progression,skills,New,"+18% Entity Damage, Attack Speed\n+72% Block Damage",対ブロックダメージ+72%\n対エンテティダメージ&攻撃速度+18%,"+18% Schaden, Angriffstempo\n+72% Blockschaden"
SledgeMasteryRank4Desc,progression,skills,New,"+24% Entity Damage, Attack Speed\n+96% Block Damage",対ブロックダメージ+96%\n対エンテティダメージ&攻撃速度+24%,"+24% Schaden, Angriffstempo\n+96% Blockschaden"
SledgeMasteryRank5Desc,progression,skills,New,"+30% Entity Damage, Attack Speed\n+120% Block Damage",対ブロックダメージ+120%\n対エンテティダメージ&攻撃速度+30%,"+30% Schaden, Angriffstempo\n+120% Blockschaden"
SledgeMasteryRank6Desc,progression,skills,New,"+34% Entity Damage, Attack Speed\n+136% Block Damage",対ブロックダメージ+136%\n対エンテティダメージ&攻撃速度+34%,"+34% Schaden, Angriffstempo\n+136% Blockschaden"
